"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901135","carbohydrate derivative metabolic process","58/871","465/11749",0.124731182795699,1.68251052430157,4.24933342520381,5.70294602313659e-05,0.10132352407002,0.0962906504047944,"396159/424831/395112/419111/396168/420229/107051963/423232/415705/429027/429128/428188/415521/420743/771478/395423/121108196/121108197/121108198/121108200/121108201/121108202/121108203/121108204/121108205/414335/428227/420998/776719/771539/423617/422203/424263/416097/415991/101748924/424171/418772/417820/395072/395182/770257/426734/396456/425243/772125/414781/427335/415585/420219/771077/423200/768660/416017/427539/418265/396091/417829",58
"GO:0009154","purine ribonucleotide catabolic process","11/871","41/11749",0.268292682926829,3.61902495029543,4.75342588093137,0.000139624257777556,0.10132352407002,0.0962906504047944,"395423/121108196/121108197/121108198/121108200/121108201/121108202/121108203/121108204/121108205/396456",11
"GO:0009261","ribonucleotide catabolic process","11/871","41/11749",0.268292682926829,3.61902495029543,4.75342588093137,0.000139624257777556,0.10132352407002,0.0962906504047944,"395423/121108196/121108197/121108198/121108200/121108201/121108202/121108203/121108204/121108205/396456",11
"GO:0015695","organic cation transport","9/871","29/11749",0.310344827586207,4.18627024031038,4.86109736213319,0.000167615424433449,0.10132352407002,0.0962906504047944,"416221/421583/396323/395458/416327/418886/421757/769612/428972",9
"GO:0006195","purine nucleotide catabolic process","11/871","44/11749",0.25,3.37227324913892,4.46089355167146,0.000276058728355874,0.133502001032901,0.126870779789658,"395423/121108196/121108197/121108198/121108200/121108201/121108202/121108203/121108204/121108205/396456",11
